資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-016-01	新猿楽記_尊経閣文庫_古抄本	1	1	傀	傀	傀儡子	傀儡子			1		〔墨〕平	平平平	〔墨〕クワイ	クワイライシ					051-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	2	1	儡	儡	傀儡子	傀儡子			2		〔墨〕平	平平平	〔墨〕ライ	クワイライシ					051-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	3	1	子	子	傀儡子	傀儡子			3		〔墨〕平	平平平	〔墨〕シ	クワイライシ					051-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	4	2	唐	唐	唐術	唐術			1		〔墨〕平	平入濁							051-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	5	2	術	術	唐術	唐術			2		〔墨〕入濁	平入濁							051-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	6	3	輪	輪	輪鼓	輪鼓			1		〔朱〕平	平上濁		＊コ					051-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	7	3	鼓	鼓	輪鼓	輪鼓			2		〔朱〕上濁	平上濁	〔墨〕コ	＊コ					051-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	8	4	延	延	延動	延動			1		〔朱〕平	平平濁							051-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	9	4	動	動	延動	延動			2		〔朱〕平濁	平平濁							051-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	10	5	福	福	福廣	福廣			1		〔朱〕入	入平	〔墨〕フ	フクワウ					051-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	11	5	廣	廣	福廣	福廣			2		〔朱〕平	入平	〔墨〕クワウ	フクワウ					051-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	12	6	妙	妙	妙高	妙高			1		〔朱〕平	平去							051-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	13	6	高	高	妙高	妙高			2		〔朱〕去	平去							051-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	14	7	形	形	形匂當	形匂當			1		〔朱〕平	平平平							051-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	15	7	匂	匂	形匂當	形匂當			2		〔朱〕平	平平平							051-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	16	7	當	當	形匂當	形匂當			3		〔朱〕平	平平平							051-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	17	8	早	早	早職事	早職事			1		〔朱〕平	平＊平濁							051-09	
30-016-01	新猿楽記_尊経閣文庫_古抄本	18	8	事	事	早職事	早職事			3		〔朱〕平濁	平＊平濁							051-09	
30-016-01	新猿楽記_尊経閣文庫_古抄本	19	9	氣	気	氣裝皃	気装皃			1		〔朱〕平	平平＊	〔墨〕ケ	ケシヤウカホ					051-10	
30-016-01	新猿楽記_尊経閣文庫_古抄本	20	9	裝	装	氣裝皃	気装皃			2		〔朱〕平	平平＊	〔墨〕シヤウ	ケシヤウカホ					051-10	
30-016-01	新猿楽記_尊経閣文庫_古抄本	21	10	徳	徳	大徳	大徳			2		〔朱〕入	＊入							051-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	22	11	嗚	嗚	嗚呼	嗚呼			1		〔墨〕平	平平	〔墨〕ヲ	ヲコ					051-12	第二字は「口＋許」
30-016-01	新猿楽記_尊経閣文庫_古抄本	23	11	呼	呼	嗚呼	嗚呼			2		〔墨〕平	平平	〔墨〕コ	ヲコ					051-12	第二字は「口＋許」
30-016-01	新猿楽記_尊経閣文庫_古抄本	24	12	百	百	百太	百太			1		〔朱〕入	入上							052-02	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	25	12	太	太	百太	百太			2		〔朱〕上	入上							052-02	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	26	13	仁	仁	仁南	仁南			1		〔墨〕平濁	平濁＊		＊ナム					052-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	27	14	衆	衆	衆人	衆人			1		〔墨〕去	去平濁							052-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	28	14	人	人	衆人	衆人			2		〔墨〕平濁	去平濁							052-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	29	15	寵	寵	寵	寵			1		〔墨〕上	上	〔墨〕ラウ／チヨウ	ラウ／チヨウ					052-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	30	16	定	定	定縁	定縁			1		〔朱〕平濁	平濁去							052-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	31	16	縁	縁	定縁	定縁			2		〔朱〕去	平濁去							052-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	32	17	神	神	神	神			1		〔朱〕平	平							052-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	33	18	形	形	形能	形能			1		〔墨〕去	去＊							052-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	34	19	仙	仙	仙	仙			1		〔墨〕平	平							052-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	35	20	先	先	先生	先生			1		〔朱〕去	去上濁							052-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	36	20	生	生	先生	先生			2		〔朱〕上濁	去上濁							052-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	37	21	躰	躰	躰骨	躰骨			1		〔朱〕上	上入軽	〔朱〕テイ	テイコツ					052-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	38	21	骨	骨	躰骨	躰骨			2		〔朱〕入軽	上入軽	〔朱〕コツ	テイコツ					052-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	39	22	言	言	言失	言失			1		〔朱〕去濁	去濁＊	〔墨〕シツ	＊シツ					052-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	40	23	堂	堂	堂達	堂達			1		〔朱〕去濁	去濁入濁							052-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	41	23	達	達	堂達	堂達			2		〔朱〕入濁	去濁入濁							052-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	42	24	天	天	天性	天性			1		〔墨〕東／〔朱〕上	東＊／上平濁							052-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	43	24	性	性	天性	天性			2		〔朱〕平濁	／東＊／上平濁							052-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	44	25	人	人	人間	人間			1		〔朱〕去	去上濁							052-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	45	25	間	間	人間	人間			2		〔朱〕上濁	去上濁							052-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	46	26	躰	躰	躰	躰			1		〔朱〕上	上	〔朱〕テイ	テイ					052-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	47	27	乞	乞	乞丐	乞丐			1		〔朱〕入	入去濁	〔朱〕コツ	コツカイ					052-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	48	27	丐	丐	乞丐	乞丐			2		〔朱〕去濁	入去濁	〔朱〕カイ	コツカイ					052-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	49	28	衆	衆	衆中	衆中			1		〔朱〕平	平上濁							052-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	50	28	中	中	衆中	衆中			2		〔朱〕上濁	平上濁							052-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	51	29	列	列	一列	一列			2		〔朱〕入軽	＊入軽	〔朱〕レツ	＊レツ					052-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	52	30	近	近	近代	近代			1		〔朱〕去	去平濁							052-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	53	30	代	代	近代	近代			2		〔朱〕平濁	去平濁							052-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	54	31	道	道	道俗	道俗			1		〔朱〕平濁	平濁入濁							052-13	
30-016-01	新猿楽記_尊経閣文庫_古抄本	55	31	俗	俗	道俗	道俗			2		〔朱〕入濁	平濁入濁							052-13	
30-016-01	新猿楽記_尊経閣文庫_古抄本	56	32	男	男	男女	男女			1		〔朱〕去	去東							052-13	
30-016-01	新猿楽記_尊経閣文庫_古抄本	57	32	女	女	男女	男女			2		〔朱〕東	去東							052-13	
30-016-01	新猿楽記_尊経閣文庫_古抄本	58	33	天	天	天	天			1		〔墨〕東	東							052-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	59	34	勝	勝	勝計	勝計			1		〔朱〕去	去平濁							053-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	60	34	計	計	勝計	勝計			2		〔朱〕平濁	去平濁							053-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	61	35	紅	紅	紅顔	紅顔			1		〔朱〕平	平平濁		＊カン					053-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	62	35	顔	顔	紅顔	紅顔			2		〔朱〕平濁	平平濁	〔朱〕＊カン	＊カン					053-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	63	36	好	好	好色	好色			1		〔朱〕去	去去							053-08	レ点あり、漢語ではない？
30-016-01	新猿楽記_尊経閣文庫_古抄本	64	36	色	色	好色	好色			2		〔朱〕去	去去							053-08	レ点あり、漢語ではない？
30-016-01	新猿楽記_尊経閣文庫_古抄本	65	37	弱	弱	弱冠	弱冠			1		〔朱〕入	入東	〔墨〕シヤ	シヤクワム					053-08	左傍に爵イ　クワムとあり
30-016-01	新猿楽記_尊経閣文庫_古抄本	66	37	冠	冠	弱冠	弱冠			2		〔朱〕東	入東	〔墨〕クワム	シヤクワム					053-08	左傍に爵イ　クワムとあり
30-016-01	新猿楽記_尊経閣文庫_古抄本	67	38	奉	奉	奉公	奉公			1		〔朱〕去	去東							053-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	68	38	公	公	奉公	奉公			2		〔朱〕東	去東							053-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	69	39	勢	勢	勢徳	勢徳			1		〔朱〕去	去入軽							053-09	二語か？
30-016-01	新猿楽記_尊経閣文庫_古抄本	70	39	徳	徳	勢徳	勢徳			2		〔朱〕入軽	去入軽							053-09	二語か？
30-016-01	新猿楽記_尊経閣文庫_古抄本	71	40	長	長	長成	長成			1		〔朱〕平	平平							053-09	
30-016-01	新猿楽記_尊経閣文庫_古抄本	72	40	成	成	長成	長成			2		〔朱〕平	平平							053-09	
30-016-01	新猿楽記_尊経閣文庫_古抄本	73	41	顧	顧	顧私	顧私			1		〔朱〕去	去平	〔墨〕コ	コシ					053-09	
30-016-01	新猿楽記_尊経閣文庫_古抄本	74	41	私	私	顧私	顧私			2		〔朱〕平	去平	〔墨〕シ	コシ					053-09	
30-016-01	新猿楽記_尊経閣文庫_古抄本	75	42	齡	齢	年齡	年齢			2		〔朱〕平	＊平	〔墨〕／〔朱〕レイ／〔朱〕イ	／＊レイ／＊イ					053-10	右傍はヨワヒか
30-016-01	新猿楽記_尊経閣文庫_古抄本	76	43	_	_	_々	_々			1		〔朱〕去	去＊	〔朱〕ハム	ハム々					053-10	
30-016-01	新猿楽記_尊経閣文庫_古抄本	77	44	疊	疊	疊々	疊々			1		〔朱〕入濁	入濁＊							053-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	78	45	持	持	持物	持物			1		〔朱〕上濁	上濁＊							053-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	79	46	祖	祖	道祖	道祖			2		〔朱〕上	＊上	〔朱〕ソ	＊ソ					053-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	80	47	伊	伊	伊賀專	伊賀専			1		〔朱〕平	平平濁＊							054-02	非漢語
30-016-01	新猿楽記_尊経閣文庫_古抄本	81	47	賀	賀	伊賀專	伊賀専			2		〔朱〕平濁	平平濁＊							054-02	非漢語
30-016-01	新猿楽記_尊経閣文庫_古抄本	82	48	苦	苦	苦本	苦本			1		〔朱〕上	上平	〔朱〕ク	クホ					054-02	非漢語
30-016-01	新猿楽記_尊経閣文庫_古抄本	83	48	本	本	苦本	苦本			2		〔朱〕平	上平	〔朱〕ホ	クホ					054-02	非漢語
30-016-01	新猿楽記_尊経閣文庫_古抄本	84	49	嫉	嫉	嫉妬	嫉妬			1		〔朱〕入	入平							054-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	85	49	妬	妬	嫉妬	嫉妬			2		〔朱〕平	入平							054-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	86	50	睚	睚	睚眦	睚眦			1		〔朱〕去濁	去濁上	〔朱〕カヒ	カヒサイセルニ					054-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	87	50	眦	眦	睚眦	睚眦			2		〔朱〕上	去濁上	〔朱〕サイ	カヒサイセルニ					054-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	88	51	戀	戀	戀慕	戀慕			1		〔朱〕去	去東濁							054-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	89	51	慕	慕	戀慕	戀慕			2		〔朱〕東濁	去東濁							054-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	90	52	愁	愁	愁歎	愁歎			1		〔朱〕去？	去？＊							054-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	91	53	露	露	露命	露命			1		〔朱〕平	平去							054-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	92	53	命	命	露命	露命			2		〔朱〕去	平去							054-08	
30-016-01	新猿楽記_尊経閣文庫_古抄本	93	54	夫	夫	夫婦	夫婦			1		〔朱〕平	平平	〔朱〕フ	フフ					054-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	94	54	婦	婦	夫婦	夫婦			2		〔朱〕平	平平	〔朱〕フ	フフ					054-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	95	55	同	同	同年	同年			1		〔朱〕去濁	去濁上							054-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	96	55	年	年	同年	同年			2		〔朱〕上	去濁上							054-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	97	56	西	西	西施	西施			1		〔朱〕去	去上							054-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	98	56	施	施	西施	西施			2		〔朱〕上	去上							054-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	99	57	心	心	心操	心操			1		〔墨〕平	平＊／＊去濁		＊サウ					054-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	100	57	操	操	心操	心操			2		〔朱〕去濁	平＊／＊去濁	サウ	＊サウ					054-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	101	58	調	調	調和	調和			1		〔朱〕去濁	去濁上							054-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	102	58	和	和	調和	調和			2		〔朱〕上	去濁上							054-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	103	59	剛	剛	剛柔	剛柔			1		〔朱〕平濁	平濁去		＊ニウ					054-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	104	59	柔	柔	剛柔	剛柔			2		〔朱〕去	平濁去	〔朱〕ニウ	＊ニウ					054-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	105	60	進	進	進退	進退			1		〔朱〕去	去平濁							054-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	106	60	退	退	進退	進退			2		〔朱〕平濁	去平濁							054-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	107	61	吏	吏	吏捍	吏捍			1		〔朱〕上	上平	〔朱〕リ	リカム					054-13	
30-016-01	新猿楽記_尊経閣文庫_古抄本	108	61	捍	捍	吏捍	吏捍			2		〔朱〕平	上平	〔朱〕カム	リカム					054-13	
30-016-01	新猿楽記_尊経閣文庫_古抄本	109	62	興	興	興販	興販			1		〔朱〕東	東平濁		＊ヘン					054-13	ケウ？
30-016-01	新猿楽記_尊経閣文庫_古抄本	110	62	販	販	興販	興販			2		〔朱〕平濁	東平濁	〔朱〕ヘン	＊ヘン					054-13	ケウ？
30-016-01	新猿楽記_尊経閣文庫_古抄本	111	63	家	家	家治	家治			1		〔朱〕去	去上濁	〔朱〕ケ	ケ＊					054-14	
30-016-01	新猿楽記_尊経閣文庫_古抄本	112	63	治	治	家治	家治			2		〔朱〕上濁	去上濁		ケ＊					054-14	
30-016-01	新猿楽記_尊経閣文庫_古抄本	113	64	能	能	能治	能治			1		〔朱〕去	去上濁							054-14	
30-016-01	新猿楽記_尊経閣文庫_古抄本	114	64	治	治	能治	能治			2		〔朱〕上濁	去上濁							054-14	
30-016-01	新猿楽記_尊経閣文庫_古抄本	115	65	厨	厨	厨膳	厨膳			1		〔朱〕去濁	去濁平濁	〔朱〕ツ／トウ	ツセム／トウセム					054-14	
30-016-01	新猿楽記_尊経閣文庫_古抄本	116	65	膳	膳	厨膳	厨膳			2		〔朱〕平濁	去濁平濁	〔朱〕セム／セム	ツセム／トウセム					054-14	
30-016-01	新猿楽記_尊経閣文庫_古抄本	117	66	從	従	從者	従者			1		〔朱〕去濁	去濁平濁							055-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	118	66	者	者	從者	従者			2		〔朱〕平濁	去濁平濁							055-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	119	67	眷	眷	眷屬	眷属			1		〔朱〕平	平入濁							055-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	120	67	屬	属	眷屬	眷属			2		〔朱〕入濁	平入濁							055-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	121	68	強	強	強縁	強縁			1		〔朱〕平濁	平濁去							055-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	122	68	縁	縁	強縁	強縁			2		〔朱〕去	平濁去							055-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	123	69	同	同	同僚	同僚			1		〔朱〕去濁	去濁上	〔朱〕―ウ	―ウレイ					055-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	124	69	僚	僚	同僚	同僚			2		〔朱〕上	去濁上	〔朱〕レイ	―ウレイ					055-04	
30-016-01	新猿楽記_尊経閣文庫_古抄本	125	70	容	容	容顔	容顔			1		〔朱〕平	平平濁	〔朱〕―ウ	―ウ―ン					055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	126	70	顔	顔	容顔	容顔			2		〔朱〕平濁	平平濁	〔朱〕―ン	―ウ―ン					055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	127	71	美	美	美麗	美麗			1		〔朱〕去濁	去濁平							055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	128	71	麗	麗	美麗	美麗			2		〔朱〕平	去濁平							055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	129	72	放	放	放逸	放逸			1		〔朱〕平	平入	〔朱〕―ウ	―ウイツ					055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	130	72	逸	逸	放逸	放逸			2		〔朱〕入	平入	〔朱〕イツ	―ウイツ					055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	131	73	豐	豊	豐顔	豊顔			1		〔朱〕東	東平濁	〔朱〕ホウ	ホウ＊					055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	132	73	顔	顔	豐顔	豊顔			2		〔朱〕平濁	東平濁		ホウ＊					055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	133	74	偏	偏	一偏	一偏			2		〔朱〕去	＊去							055-05	
30-016-01	新猿楽記_尊経閣文庫_古抄本	134	75	沈	沈	沈淪	沈淪			1		〔朱〕平	平平							055-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	135	75	淪	淪	沈淪	沈淪			2		〔朱〕平	平平							055-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	136	76	窮	窮	窮屈	窮屈			1		〔朱〕平	平入軽							055-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	137	76	屈	屈	窮屈	窮屈			2		〔朱〕入軽	平入軽							055-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	138	77	性	性	性	性			1		〔朱〕去	去							055-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	139	78	世	世	世路	世路			1		〔朱〕去	去平							055-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	140	78	路	路	世路	世路			2		〔朱〕平	去平							055-06	
30-016-01	新猿楽記_尊経閣文庫_古抄本	141	79	喧	喧	喧囂	喧囂			1		〔朱〕平	平平濁	〔墨〕／〔朱〕クワン	／クワンケウ					055-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	142	79	囂	囂	喧囂	喧囂			2		〔朱〕平濁	平平濁	〔朱〕ケウ	／クワンケウ					055-07	
30-016-01	新猿楽記_尊経閣文庫_古抄本	143	80	萬	万	萬人	万人			1		〔朱〕去濁	去濁＊							055-11	
30-016-01	新猿楽記_尊経閣文庫_古抄本	144	81	遐	遐	遐齡延年	遐齢延年			1		〔朱〕平	平平平平	〔墨〕カ	カレイ＊＊					055-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	145	81	齡	齢	遐齡延年	遐齢延年			2		〔朱〕平	平平平平	〔墨〕レイ	カレイ＊＊					055-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	146	81	延	延	遐齡延年	遐齢延年			3		〔朱〕平	平平平平		カレイ＊＊					055-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	147	81	年	年	遐齡延年	遐齢延年			4		〔朱〕平	平平平平		カレイ＊＊					055-12	
30-016-01	新猿楽記_尊経閣文庫_古抄本	148	82	筒	筒	筒	筒			1		〔朱〕去濁	去濁	〔朱〕トフ	トフ					055-14	
30-016-01	新猿楽記_尊経閣文庫_古抄本	149	83	語	語	語條	語條			1		〔墨〕去濁	去濁＊／＊平濁							055-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	150	83	條	條	語條	語條			2		〔朱〕平濁	去濁＊／＊平濁							055-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	151	84	謀	謀	謀計	謀計			1		〔朱〕平	平去	〔朱〕／〔墨〕〔朱〕―フ／ホウ	／―フ―イ／ホウケイ					055-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	152	84	計	計	謀計	謀計			2		〔朱〕去	平去	〔朱〕／〔墨〕〔朱〕―イ／ケイ	／―フ―イ／ホウケイ					055-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	153	85	四	四	四三	四三			1		〔朱〕平	平上							055-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	154	85	三	三	四三	四三			2		〔朱〕上	平上							055-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	155	86	賽	賽	賽論	賽論			1		〔墨〕平	／平＊／＊上							056-02	掲出字「竹／賽」
30-016-01	新猿楽記_尊経閣文庫_古抄本	156	86	論	論	賽論	賽論			2		〔朱〕上	／平＊／＊上							056-02	掲出字「竹／賽」
30-016-01	新猿楽記_尊経閣文庫_古抄本	157	87	宴	宴	宴丸	宴丸			1		〔朱〕平	平去濁		＊クワム					056-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	158	87	丸	丸	宴丸	宴丸			2		〔朱〕去濁	平去濁	〔朱〕クワム	＊クワム					056-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	159	88	四	四	四三	四三			1		〔朱〕平	平上							056-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	160	88	三	三	四三	四三			2		〔朱〕上	平上							056-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	161	89	豐	豊	豐藤太	豊藤太			1		〔朱〕平濁	平濁平濁上濁							056-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	162	89	藤	藤	豐藤太	豊藤太			2		〔朱〕平濁	平濁平濁上濁							056-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	163	89	太	太	豐藤太	豊藤太			3		〔朱〕上濁	平濁平濁上濁							056-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	164	90	五	五	五四	五四			1		〔朱〕去濁	去濁平	〔朱〕ク	クシ					056-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	165	90	四	四	五四	五四			2		〔朱〕平	去濁平	〔朱〕シ	クシ					056-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	166	91	衝	衝	衝四	衝四			1		〔朱〕上	上平濁	〔朱〕シウ	シウ＊					056-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	167	91	四	四	衝四	衝四			2		〔朱〕平濁	上平濁		シウ＊					056-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	168	92	竹	竹	竹藤拯	竹藤拯			1		〔朱〕入	入平上濁		＊＊セウ					056-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	169	92	藤	藤	竹藤拯	竹藤拯			2		〔朱〕平	入平上濁		＊＊セウ					056-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	170	92	拯	拯	竹藤拯	竹藤拯			3		〔朱〕上濁	入平上濁	〔朱〕セウ	＊＊セウ					056-03	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	171	93	會	會	會稽	會稽			1		〔墨〕去	去去							056-11	地名
30-016-01	新猿楽記_尊経閣文庫_古抄本	172	93	稽	稽	會稽	會稽			2		〔墨〕去	去去							056-11	地名
30-016-01	新猿楽記_尊経閣文庫_古抄本	173	94	解	解	解烏	解烏			1		〔朱〕去	去＊	〔朱〕カイ／ケイ	カイヲ／ケイ＊					056-12	人名
30-016-01	新猿楽記_尊経閣文庫_古抄本	174	95	耕	耕	耕農	耕農			1		〔朱〕平	平平	〔朱〕カウ	カウノウ					056-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	175	95	農	農	耕農	耕農			2		〔朱〕平	平平	〔朱〕ノウ	カウノウ					056-15	
30-016-01	新猿楽記_尊経閣文庫_古抄本	176	96	數	数	數町	数町			1		〔朱〕上	上上							056-16	
30-016-01	新猿楽記_尊経閣文庫_古抄本	177	96	町	町	數町	数町			2		〔朱〕上	上上							056-16	
30-016-01	新猿楽記_尊経閣文庫_古抄本	178	97	大	大	大名	大名			1		〔朱〕平濁	平濁平							056-16	
30-016-01	新猿楽記_尊経閣文庫_古抄本	179	97	名	名	大名	大名			2		〔朱〕平	平濁平							056-16	
30-016-01	新猿楽記_尊経閣文庫_古抄本	180	98	水	水	水旱	水旱			1		〔朱〕上	上上		＊カン／＊―ン					056-16	
30-016-01	新猿楽記_尊経閣文庫_古抄本	181	98	旱	旱	水旱	水旱			2		〔朱〕上	上上	〔墨〕〔朱〕カン／〔朱〕―ン	＊カン／＊―ン					056-16	
30-016-01	新猿楽記_尊経閣文庫_古抄本	182	99	田	田	田夫	田夫			1		〔朱〕平濁	平濁上濁							057-02	
30-016-01	新猿楽記_尊経閣文庫_古抄本	183	99	夫	夫	田夫	田夫			2		〔朱〕上濁	平濁上濁							057-02	
30-016-01	新猿楽記_尊経閣文庫_古抄本	184	100	農	農	農人	農人			1		〔朱〕平	平平濁	〔墨〕ノウ	ノウ＊					057-02	
30-016-01	新猿楽記_尊経閣文庫_古抄本	185	100	人	人	農人	農人			2		〔朱〕平濁	平平濁		ノウ＊					057-02	
30-016-01	新猿楽記_尊経閣文庫_古抄本	186	101	種	種	種蒔	種蒔			1		〔墨〕平	平＊／＊平濁							057-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	187	101	蒔	蒔	種蒔	種蒔			2		〔朱〕平濁	平＊／＊平濁							057-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	188	102	苗	苗	苗代	苗代			1		〔朱〕去濁	去濁＊	〔朱〕ヘウ	ヘウタイ					057-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	189	103	耕	耕	耕作	耕作			1		〔朱〕平	平入	〔朱〕カウ	カウサク					057-03	
30-016-01	新猿楽記_尊経閣文庫_古抄本	190	103	作	作	耕作	耕作			2		〔朱〕入	平入	〔朱〕サク	カウサク					057-03	
